molecule_chembl_id,canonical_smiles,standard_value
CHEMBL540326,CCc1cccc(N(C)C(=N)Nc2cc(Cl)cc(C(F)(F)F)c2Cl)c1.Cl,110.0
CHEMBL542959,CCc1cccc(NC(=N)Nc2cc(Cl)cc(Cl)c2)c1.Cl,69.9
CHEMBL555698,CCc1cccc(N(C)C(=N)Nc2cccc(Cl)c2Cl)c1.Cl,97.0
CHEMBL552831,CCc1cccc(NC(=N)Nc2cc(CC)cc(CC)c2)c1.Cl,8.0
CHEMBL553749,CCc1cccc(NC(=N)Nc2cc(C(F)(F)F)cc(CC)c2Br)c1.Cl,19.6
CHEMBL542478,CCc1cccc(NC(=N)N(C)c2cc(CC)ccc2Cl)c1.Cl,156.0
CHEMBL555091,CCc1cccc(N(C)C(=N)Nc2cccc(Cl)c2)c1.Cl,43.5
CHEMBL540841,CCc1cccc(NC(=N)Nc2cc(C(F)(F)F)cc(CC)c2F)c1.Cl,23.9
CHEMBL553167,CCc1cccc(NC(=N)N(C)c2cc(Cl)ccc2Cl)c1.Cl,64.0
CHEMBL543433,CCc1cccc(NC(=N)Nc2c(Cl)cccc2Cl)c1.Cl,14.4
CHEMBL555099,CCc1cccc(N(C)C(=N)Nc2ccccc2Br)c1.Cl,125.0
CHEMBL542238,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(CC)c2F)c1.Cl,113.0
CHEMBL542956,CCc1cccc(N(C)C(=N)N(C)c2cc(Cl)ccc2Cl)c1.Cl,39.3
CHEMBL554355,CCc1cccc(NC(=N)Nc2cccc(Cl)c2)c1.Cl,27.0
CHEMBL87321,CNC1Cc2cc(Cl)c(O)cc2C(c2ccccc2)C1,21.1
CHEMBL553745,CN(C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,3.47
CHEMBL542419,C=CCNC1Cc2ccccc2C(c2ccccc2)C1.Cl,117.0
CHEMBL316267,CN(C)[C@H]1CCc2ccccc2[C@H]1c1ccccc1,2755.0
CHEMBL543134,Br.CN(C)C1Cc2cc(O)c(O)cc2C(c2ccccc2)C1,34.3
CHEMBL544309,CCN(CC)C1Cc2ccccc2C(c2ccccc2)C1.Cl,4.49
CHEMBL544078,Cl.NC1Cc2ccccc2C(c2ccccc2)C1,3305.0
CHEMBL540038,C=CCN(C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,8.9
CHEMBL542167,CN(C)[C@@]1(C)Cc2ccccc2[C@H](c2ccccc2)C1.Cl,0.51
CHEMBL538263,Br.NC1Cc2cc(O)c(O)cc2C(c2ccccc2)C1,10000.0
CHEMBL545477,CN(C)[C@H]1Cc2cc(Cl)c(O)cc2[C@H](c2ccccc2)C1.Cl,0.29
CHEMBL2093895,CN(C)[C@]1(C)Cc2ccccc2[C@@H](c2ccccc2)C1.Cl,9.0
CHEMBL545249,CN(C)C1Cc2cc(Cl)c(O)cc2C(c2ccccc2)C1.Cl,1.4
CHEMBL539274,C=CCN(CC=C)C1Cc2ccccc2C(c2ccccc2)C1.Cl,26.5
CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,64.0
CHEMBL60872,NC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)c2ccccc12,215.0
CHEMBL300150,Fc1ccc(OCCCN2CCN(c3ncc(F)cn3)CC2)cc1,89.0
CHEMBL59006,NC(CCCN1CCN(c2ncc(F)cn2)CC1)C1CCCCC1,52.0
CHEMBL300556,CC(=O)NC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,49.0
CHEMBL58282,O=S(=O)(NC(CCCN1CCN(c2ncc(F)cn2)CC1)C1CCCCC1)c1ccc(F)cc1,504.0
CHEMBL60859,OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,112.0
CHEMBL61303,O=S(=O)(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,45.0
CHEMBL300351,O=S(=O)(NC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1)c1ccc(F)cc1,1520.0
